.,il,0.14285714,la,0.14285714,le,0.07142857,pioveva,0.07142857,allora,0.07142857,un,0.07142857,tamburellava,0.07142857,aveva,0.07142857,suo,0.07142857,nell’autunno,0.07142857,bill,0.07142857,l’aveva,0.07142857
il,terrore,0.25000000,semaforo,0.25000000,bambino,0.25000000,vetro,0.25000000
terrore,che,1.00000000
che,sarebbe,0.12500000,mi,0.12500000,scendeva,0.12500000,segnava,0.12500000,cessata,0.12500000,mai,0.12500000,l’orrore,0.12500000,george,0.12500000
sarebbe,durato,1.00000000
durato,per,1.00000000
per,ventotto,0.25000000,quel,0.25000000,la,0.25000000,witcham,0.25000000
ventotto,anni,1.00000000
anni,,,0.25000000,.,0.50000000,prima,0.25000000
,,ma,0.10526316,ebbe,0.05263158,per,0.05263158,con,0.05263158,s’inclinò,0.05263158,si,0.05263158,affrontò,0.05263158,verso,0.05263158,in,0.05263158,e,0.05263158,quasi,0.05263158,conosciuto,0.05263158,che,0.05263158,era,0.05263158,otto,0.05263158,bill,0.05263158,seduto,0.05263158,mentre,0.05263158
ma,forse,0.50000000,la,0.50000000
forse,di,1.00000000
di,più,0.09090909,sapere,0.09090909,carta,0.18181818,giornale,0.09090909,pioggia,0.09090909,tutte,0.09090909,derry,0.18181818,una,0.09090909,guanciali,0.09090909
più,,,1.00000000
ebbe,inizio,1.00000000
inizio,,,1.00000000
quel,che,0.33333333,pomeriggio,0.33333333,soprannome,0.33333333
mi,è,1.00000000
è,dato,1.00000000
dato,di,1.00000000
sapere,e,1.00000000
e,narrare,0.11111111,proseguì,0.11111111,spente,0.11111111,da,0.11111111,l’erogazione,0.11111111,stivaletti,0.11111111,suonava,0.11111111,ventotto,0.11111111,la,0.11111111
narrare,,,1.00000000
con,una,0.20000000,coraggio,0.20000000,la,0.40000000,l’impermeabile,0.20000000
una,barchetta,0.20000000,settimana,0.20000000,tettoia,0.20000000,brutta,0.20000000,pila,0.20000000
barchetta,di,0.50000000,beccheggiò,0.25000000,che,0.25000000
carta,di,0.50000000,.,0.50000000
giornale,che,1.00000000
scendeva,lungo,1.00000000
lungo,un,1.00000000
un,marciapiede,0.25000000,rivolo,0.25000000,bambino,0.25000000,rumore,0.25000000
marciapiede,in,1.00000000
in,un,0.20000000,verticale,0.20000000,quel,0.20000000,impermeabile,0.20000000,sua,0.20000000
rivolo,gonfio,1.00000000
gonfio,di,1.00000000
pioggia,.,0.25000000,era,0.25000000,su,0.25000000,batteva,0.25000000
la,barchetta,0.22222222,sua,0.22222222,jackson,0.11111111,pioggia,0.22222222,schiena,0.11111111,loro,0.11111111
beccheggiò,,,1.00000000
s’inclinò,,,1.00000000
si,raddrizzò,0.25000000,erano,0.25000000,andava,0.25000000,manifestasse,0.25000000
raddrizzò,,,1.00000000
affrontò,con,1.00000000
coraggio,i,1.00000000
i,gorghi,0.16666667,lati,0.16666667,venti,0.16666667,quartieri,0.16666667,ragazzini,0.16666667,postumi,0.16666667
gorghi,infidi,1.00000000
infidi,e,1.00000000
proseguì,per,1.00000000
sua,rotta,0.25000000,violenza,0.25000000,presenza),0.25000000,finestra,0.25000000
rotta,giù,1.00000000
giù,per,1.00000000
witcham,street,1.00000000
street,,,1.00000000
verso,il,1.00000000
semaforo,che,0.50000000,erano,0.50000000
segnava,l’incrocio,1.00000000
l’incrocio,con,1.00000000
jackson,.,1.00000000
le,tre,0.33333333,finestre,0.33333333,case,0.33333333
tre,lampade,1.00000000
lampade,disposte,1.00000000
